observation_date,ITAPROINDMISMEI
1970-06-01,67.384450000000001
1970-07-01,69.233409999999992
1970-08-01,67.452930000000009
1970-09-01,69.507339999999999
1970-10-01,67.932290000000009
1970-11-01,68.822530000000000
1970-12-01,69.027979999999999
1971-01-01,70.252060000000000
1971-02-01,66.085380000000001
1971-03-01,66.085380000000001
1971-04-01,65.310190000000006
1971-05-01,67.926479999999998
1971-06-01,68.507869999999997
1971-07-01,67.926479999999998
1971-08-01,68.895460000000000
1971-09-01,69.089259999999996
1971-10-01,70.445849999999993
1971-11-01,69.767560000000003
1971-12-01,70.445849999999993
1972-01-01,70.252060000000000
1972-02-01,67.345080000000010
1972-03-01,66.763680000000008
1972-04-01,71.996250000000003
1972-05-01,70.833449999999999
1972-06-01,71.802440000000004
1972-07-01,70.736559999999997
1972-08-01,71.705550000000002
1972-09-01,69.670659999999998
1972-10-01,73.934229999999999
1972-11-01,71.027249999999995
1972-12-01,80.620289999999997
1973-01-01,68.701669999999993
1973-02-01,69.670659999999998
1973-03-01,72.093149999999994
1973-04-01,76.453620000000001
1973-05-01,78.294709999999995
1973-06-01,81.298580000000001
1973-07-01,80.717190000000002
1973-08-01,80.523390000000006
1973-09-01,83.817969999999988
1973-10-01,81.783079999999998
1973-11-01,82.073779999999999
1973-12-01,84.593170000000001
1974-01-01,83.914869999999993
1974-02-01,80.329599999999999
1974-03-01,84.496269999999996
1974-04-01,84.980769999999978
1974-05-01,84.011769999999999
1974-06-01,86.628050000000002
1974-07-01,81.783079999999998
1974-08-01,81.783079999999998
1974-09-01,82.752080000000007
1974-10-01,78.197810000000004
1974-11-01,78.294709999999995
1974-12-01,74.903230000000022
1975-01-01,74.321830000000006
1975-02-01,74.321830000000006
1975-03-01,74.321830000000006
1975-04-01,72.771439999999998
1975-05-01,73.837330000000023
1975-06-01,74.515630000000002
1975-07-01,73.546639999999996
1975-08-01,74.031140000000022
1975-09-01,72.965240000000023
1975-10-01,74.418730000000011
1975-11-01,76.550510000000003
1975-12-01,76.356719999999996
1976-01-01,78.876109999999997
1976-02-01,78.294709999999995
1976-03-01,77.907110000000003
1976-04-01,79.941990000000004
1976-05-01,85.368359999999996
1976-06-01,84.883870000000002
1976-07-01,86.046660000000003
1976-08-01,82.267580000000009
1976-09-01,85.368359999999996
1976-10-01,87.693950000000001
1976-11-01,87.790850000000006
1976-12-01,88.178440000000009
1977-01-01,90.600930000000005
