observation_date,ITAPIEATI01GPM
2014-04-01,-0.05221177878447160
2014-05-01,-0.03360875652265530
2014-06-01,0.30207772209342898
2014-07-01,-0.20894313284075999
2014-08-01,-0.16866077029564100
2014-09-01,-0.06469575264940459
2014-10-01,-0.21872147414881901
2014-11-01,-0.13881738541815000
2014-12-01,-0.67470679125155497
2015-01-01,-1.11204921797187994
2015-02-01,0.73004032446831602
2015-03-01,0.14555415951281300
2015-04-01,0.18595839943757400
2015-05-01,0.20484861659204701
2015-06-01,-0.13293403807357801
2015-07-01,-0.41411540989368900
2015-08-01,-0.62788721868934405
2015-09-01,-0.38556715659564700
2015-10-01,-0.18233531827295599
2015-11-01,-0.38855048824823901
2015-12-01,-0.57486648173681598
2016-01-01,-0.68401715675984598
2016-02-01,-0.36960645549663101
2016-03-01,0.25239235564708801
